sku,modelo,compatibilidade,capacidade,arquivo_foto
1001,EB-BG580ABU,Samsung Galaxy M20/ M30 ,5000,1001.jpg
1002,BN950ABA,Samsung Galaxy Note 8 N950/f ,3300,1002.jpg
1003,Hq-50s,Samsung Galaxy A02s ,5000,1003.jpg
1004,G530,Samsung Galaxy J5 Smj500m/ds G530 J2 Prime,3000,1004.jpg
1005,SCUD-N6,Samsung Galaxy A10s A11 A20s A207 ,4000,1005.jpg
1006,Eb-bg781aby,Samsung Galaxy A52 4g/5g S20 Fan 4g/5g,4500,1006.jpg
1007,Bg955abe,Samsung Galaxy S8 Plus G955 ,3500,1007.jpg
1008,Eb-bn985aby,Samsung Galaxy Note 20 Ultra ,4300,1008.jpg
1009,Bj510cbe,Samsung Galaxy J5 Metal,3100,1009.jpg
1010,Eb-bn965abu,Samsung Galaxy Note 9,4000,1010.jpg
1011,Eb-bg930abe,Samsung Galaxy S7,3000,1011.jpg
1012,Eb-bg935abe,Samsung Galaxy S7 Edge,3600,1012.jpg
1013,Eb-ba520abe,Samsung Galaxy A5 2017,3000,1013.jpg
1014,Eb-bg975abu,Samsung Galaxy S10 Plus,4100,1014.jpg
1015,Bm325abn,Samsung Galaxy M32,6000,1015.jpg
1016,Eb-bg973abu,Samsung Galaxy S10,3400,1016.jpg
1017,Eb-ba013aby,Galaxy A01 Core A013,3000,1017.jpg
1018,Eb-ba505abu,Samsung Galaxy A20 / A30 / A50,3900,1018.jpg
1019,Sm-j500m,Samsung Galaxy J5 G530 J2 Prime,2600,1019.jpg
1020,Eb535163lu,Samsung Galaxy Gran Duos I9082,2100,1020.jpg
1021,G600,Samsung Galaxy J7 J400 J7 2015 J700 On 7,3000,1021.jpg
1022,Eb-bn910,Samsung Galaxy Note 4,3220,1022.jpg
1023,Eb585157,Samsung Galaxy Core 2 G355 Win Duos ,2000,1023.jpg
1024,Eb-bg570abe,Samsung Galaxy J5 Prime ( G570 ),2400,1024.jpg
1025,Bg800bbe,Samsung Galaxy S5 Mini,2100,1025.jpg
1026,Gh96-10213a,Samsung Galaxy J1 2016 J120,2050,1026.jpg
1027,BA546ABY,Galaxy A54 5g / A34 5g,5000,1027.jpg
1028,EB-BG950ABE,Samsung Galaxy S8 G950,3000,1028.jpg
1029,EB-BJ800ABE,Samsung Galaxy J6 J600,3000,1029.jpg
1030,EB-BG980ABY,Samsung Galaxy S20 4g | S20 5g G980F G981B,4000,1030.jpg
1031,EB425161LU,Samsung Galaxy S3 Mini / J1 Mini,1500,1031.jpg
1032,EB-BA715ABY,Samsung Galaxy A71 SM-A7160,4500,1032.jpg
1033,EB-BG925ABE,Samsung Galaxy S6 Edge G925,2600,1033.jpg
1034,BN915,Samsung Galaxy Note 4 Edge SM-N915F,3000,1034.jpg
1035,BN972,Samsung Galaxy Note 10 Plus (N975),4300,1035.jpg
1036,BA146,Samsung Galaxy A14 | A14 5g,5000,1036.jpg
1037,BA730,Samsung Galaxy A8 Plus SM-A730,3500,1037.jpg
1038,B600BE,Samsung Galaxy S4 | S4 4g I9500 I9502 I9505 I9508,2600,1038.jpg
1039,BA750,Samsung Galaxy A10 A105 M10 M105 A750,3300,1039.jpg
1040,BG360,Samsung Galaxy Win 2 Duos G360 | J2 J200,2000,1040.jpg
1041,BJ730,Samsung Galaxy J7 Pro,3600,1041.jpg
1042,BG965,Samsung Galaxy S9 Plus G965,3500,1042.jpg
1043,BG900,Samsung Galaxy S5 SMG900M,2800,1043.jpg
1044,BA426,Samsung Galaxy A32 5g A42 A72,5000,1044.jpg
1045,BA530,Samsung Galaxy A8 2018 SMA530,3000,1045.jpg
1047,BG920,Samsung Galaxy S6 G920,2550,1047.jpg
1048,BG610,Samsung Galaxy J7 Prime J4 | J6 Plus Core G610,3300,1048.jpg
1049,BA907,Galaxy S10 Lite,4500,1049.jpg